[64, 384, 128, 96, 448, 256, 32, 128];0.5;0.742
[288, 192, 32, 224, 480, 256, 416, 192];0.006000000000000005;0.748
[128, 224, 480, 320, 448, 448, 96, 256];-0.0050000000000000044;0.74
[192, 416, 224, 64, 3703, 160, 448, 1];-0.0033333333333332993;0.74
[352, 1, 512, 384, 256, 384, 512, 128];-0.010499999999999954;0.732
[160, 320, 416, 384, 128, 192, 160, 160];-0.00039999999999995595;0.74
[416, 192, 160, 32, 448, 1, 256, 384];-0.00033333333333340764;0.74
[192, 448, 416, 160, 160, 192, 448, 64];-0.00028571428571433355;0.74
[224, 96, 448, 192, 192, 448, 256, 224];-0.006249999999999978;0.734
[352, 128, 416, 96, 288, 384, 3703, 448];0.008444444444444477;0.748
[1, 3703, 32, 32, 288, 320, 352, 256];-0.09439999999999993;0.646
[448, 256, 288, 192, 160, 64, 32, 448];-0.006399999999999961;0.734
[416, 416, 160, 480, 448, 96, 3703, 32];0.0014000000000000679;0.742
[128, 160, 480, 448, 64, 288, 128, 64];-0.0033999999999999586;0.738
[1, 320, 128, 224, 480, 1, 288, 192];-0.03979999999999995;0.702
[1, 96, 192, 416, 160, 352, 480, 32];-0.06379999999999986;0.678
[448, 1, 96, 256, 1, 160, 128, 64];-0.005799999999999916;0.736
[1, 224, 64, 128, 384, 288, 512, 352];-0.08179999999999987;0.66
[256, 96, 480, 384, 320, 288, 192, 96];-0.0017999999999999128;0.74
[352, 448, 3703, 128, 480, 160, 64, 288];-0.0020000000000000018;0.74
[320, 480, 1, 192, 3703, 128, 96, 480];-0.01200000000000001;0.73
[384, 224, 32, 128, 224, 3703, 224, 224];0.0040000000000000036;0.746
[352, 64, 256, 352, 32, 352, 1, 512];-0.0046000000000000485;0.738
[384, 512, 480, 256, 224, 256, 448, 3703];0.0033999999999999586;0.746
[288, 96, 128, 96, 512, 96, 96, 192];-0.0032000000000000917;0.74
[1, 256, 1, 320, 352, 160, 32, 64];-0.053200000000000136;0.69
[160, 192, 512, 480, 160, 512, 512, 384];-0.0032000000000000917;0.74
[320, 224, 96, 192, 288, 288, 416, 96];-0.0012000000000000899;0.742
[320, 416, 512, 3703, 288, 448, 320, 352];-0.005400000000000071;0.738
[288, 352, 512, 320, 320, 128, 384, 288];-0.007400000000000073;0.736
[416, 32, 192, 64, 480, 64, 416, 160];-0.007400000000000073;0.736
[384, 352, 1, 224, 3703, 448, 224, 128];-0.005400000000000071;0.738
[384, 416, 288, 288, 64, 288, 448, 96];0.0005999999999999339;0.744
[448, 192, 256, 384, 480, 320, 384, 256];0.008199999999999985;0.752
[1, 3703, 64, 480, 96, 64, 256, 32];-0.21099999999999997;0.534
[160, 128, 320, 416, 192, 128, 32, 128];-0.007000000000000006;0.738
[448, 224, 448, 384, 32, 320, 224, 192];-0.01100000000000001;0.734
[320, 288, 256, 160, 416, 32, 352, 96];-0.0050000000000000044;0.74
[320, 384, 160, 3703, 384, 320, 288, 448];-0.0010000000000000009;0.744
[128, 192, 480, 64, 416, 384, 480, 256];-0.011399999999999966;0.734
[352, 32, 192, 512, 448, 224, 384, 416];-0.0013999999999999568;0.744
[512, 128, 352, 32, 352, 480, 256, 512];-0.0015999999999999348;0.744
[352, 320, 320, 416, 224, 448, 512, 224];-0.02179999999999993;0.724
[224, 1, 384, 320, 512, 224, 256, 192];-0.00979999999999992;0.736
[512, 480, 1, 3703, 320, 512, 448, 192];-0.005799999999999916;0.74
[224, 3703, 320, 416, 224, 288, 512, 1];-0.013799999999999923;0.732
[160, 320, 96, 64, 128, 512, 512, 160];-0.005799999999999916;0.74
[32, 64, 352, 320, 224, 256, 32, 288];-0.007799999999999918;0.738
[96, 384, 352, 384, 128, 416, 224, 416];-0.013799999999999923;0.732
[512, 3703, 352, 3703, 384, 32, 320, 480];-0.005799999999999916;0.74
[256, 32, 192, 288, 288, 192, 384, 256];-0.013799999999999923;0.732
[480, 32, 64, 32, 64, 192, 160, 32];-0.00979999999999992;0.736
[320, 1, 64, 3703, 128, 3703, 480, 512];-0.011799999999999922;0.734
[96, 160, 32, 64, 352, 160, 256, 192];-0.007799999999999918;0.738
[128, 128, 256, 32, 160, 480, 192, 416];-0.0037999999999999146;0.742
[160, 288, 480, 224, 96, 1, 320, 192];-0.011799999999999922;0.734
[288, 96, 320, 512, 96, 512, 224, 3703];-0.0037999999999999146;0.742
[448, 160, 384, 448, 128, 416, 256, 480];-0.005799999999999916;0.74
[256, 448, 192, 416, 256, 256, 416, 416];-0.005799999999999916;0.74
[512, 64, 32, 288, 32, 160, 416, 128];-0.017799999999999927;0.728
[320, 1, 1, 160, 32, 160, 512, 3703];-0.0017999999999999128;0.744
[3703, 320, 512, 64, 32, 352, 512, 32];-0.051999999999999935;0.694
[1, 352, 512, 480, 64, 320, 1, 288];-0.05399999999999994;0.692
[384, 192, 128, 416, 480, 32, 320, 480];-0.005999999999999894;0.74
[32, 512, 288, 256, 512, 3703, 3703, 96];-0.005999999999999894;0.74
[192, 192, 64, 320, 384, 1, 160, 512];-0.007999999999999896;0.738
[384, 288, 224, 160, 512, 320, 128, 1];-0.009999999999999898;0.736
[384, 512, 192, 32, 3703, 384, 224, 416];-0.007999999999999896;0.738
[288, 1, 512, 416, 1, 512, 224, 192];-0.013999999999999901;0.732
[224, 320, 352, 416, 3703, 192, 480, 3703];-0.0019999999999998908;0.744
[64, 256, 64, 192, 3703, 96, 352, 288];0.002000000000000113;0.748
[352, 32, 416, 3703, 128, 96, 288, 384];-0.01639999999999997;0.73
[352, 128, 160, 416, 1, 160, 448, 512];-0.006399999999999961;0.74
[512, 512, 224, 448, 160, 32, 416, 256];-0.014399999999999968;0.732
[352, 416, 320, 512, 160, 288, 480, 96];-0.006399999999999961;0.74
[448, 128, 64, 416, 512, 256, 32, 160];-0.008399999999999963;0.738
[256, 288, 320, 1, 416, 320, 256, 448];-0.008399999999999963;0.738
[352, 512, 64, 224, 128, 448, 1, 32];-0.006399999999999961;0.74
